iter	RMSE
0	0.8767060566
1	0.8724891588
2	0.870706479
3	0.8690483911
4	0.8681357078
5	0.8673603269
6	0.8669872497
7	0.8664589283
8	0.8661878744
9	0.8659328391
10	0.8656955975
11	0.8654284441
12	0.8652181713
13	0.8650524805
14	0.8648421348
15	0.8646593164
16	0.8644787229
17	0.8642527281
18	0.8640860254
19	0.8638989571
20	0.863707561
21	0.86360882
22	0.8634328051
23	0.8632867396
24	0.8631220326
25	0.8629348003
26	0.8627708526
27	0.8624242705
28	0.8622403134
29	0.8620247302
30	0.8618228503
31	0.861616733
32	0.8614062416
33	0.8611815338
34	0.861015854
35	0.8608188546
36	0.8606009319
37	0.8604038288
38	0.8602153215
39	0.8600416299
40	0.8598844065
41	0.8597140442
42	0.8595498414
43	0.8593451143
44	0.8592199022
45	0.8590855236
46	0.8589193567
47	0.8587184811
48	0.8585702905
49	0.8583430513
50	0.8581158726
51	0.8579044776
52	0.8577252854
53	0.8575148798
54	0.8573619329
55	0.8571994898
56	0.8570480058
57	0.8568784773
58	0.8567357344
59	0.8565637691
60	0.856421234
61	0.8562668741
62	0.8560960532
63	0.8559219029
64	0.8557315209
65	0.8555823482
66	0.8554782532
67	0.8553191297
68	0.8551813462
69	0.8550452334
70	0.8548883114
71	0.8547379685
72	0.8545711134
73	0.8544230015
74	0.8542479318
75	0.854109071
76	0.853978252
77	0.8538546467
78	0.853708412
79	0.8535204234
80	0.8533817836
81	0.853246999
82	0.8530921998
83	0.8529647556
84	0.8528354046
85	0.8527157385
86	0.8525646901
87	0.8524147442
88	0.8522403679
89	0.85211229
90	0.8519598216
91	0.8518329178
92	0.8516718234
93	0.8515422639
94	0.8513705187
95	0.8512475356
96	0.8511044019
97	0.8509639027
98	0.8507928216
99	0.8506575783
