iter	Passed	Remaining
0	64	6394
1	110	5423
2	154	4999
3	204	4904
4	249	4734
5	293	4592
6	338	4500
7	371	4269
8	403	4084
9	435	3915
10	467	3785
11	507	3720
12	538	3605
13	569	3499
14	599	3399
15	631	3315
16	663	3237
17	695	3167
18	737	3142
19	772	3090
20	804	3026
21	836	2966
22	868	2907
23	899	2847
24	930	2790
25	962	2739
26	993	2684
27	1023	2632
28	1052	2576
29	1083	2528
30	1114	2480
31	1146	2436
32	1177	2390
33	1208	2345
34	1238	2300
35	1268	2255
36	1299	2212
37	1331	2172
38	1361	2129
39	1394	2091
40	1425	2051
41	1454	2009
42	1484	1968
43	1514	1927
44	1543	1886
45	1572	1845
46	1602	1806
47	1634	1770
48	1662	1730
49	1693	1693
50	1726	1658
51	1760	1624
52	1789	1586
53	1825	1555
54	1858	1520
55	1889	1484
56	1917	1446
57	1949	1411
58	1979	1375
59	2010	1340
60	2042	1305
61	2072	1270
62	2102	1234
63	2133	1200
64	2164	1165
65	2196	1131
66	2225	1096
67	2254	1061
68	2283	1025
69	2315	992
70	2348	959
71	2377	924
72	2407	890
73	2439	857
74	2469	823
75	2499	789
76	2528	755
77	2558	721
78	2587	687
79	2616	654
80	2645	620
81	2675	587
82	2709	554
83	2737	521
84	2770	488
85	2800	455
86	2832	423
87	2862	390
88	2891	357
89	2923	324
90	2952	292
91	2980	259
92	3010	226
93	3039	194
94	3071	161
95	3100	129
96	3129	96
97	3160	64
98	3192	32
99	3220	0
