iter	Logloss
0	0.6229259604
1	0.5660293737
2	0.52648235
3	0.4935015829
4	0.4690469365
5	0.4509884713
6	0.4368626366
7	0.4248192411
8	0.4164565976
9	0.4084923102
10	0.4026002518
11	0.398433988
12	0.3942816088
13	0.3909356921
14	0.3884004905
15	0.3862014769
16	0.3839928227
17	0.3822148762
18	0.3804974494
19	0.379245687
20	0.3781541907
21	0.3772173114
22	0.3762601527
23	0.3752346567
24	0.374332056
25	0.3736274189
26	0.3730000097
27	0.3722967885
28	0.3716640673
29	0.371096205
30	0.3705691535
31	0.3701999187
32	0.3698750587
33	0.3694742184
34	0.3690613695
35	0.3687326441
36	0.3682544596
37	0.3679508051
38	0.3676991455
39	0.3672920524
40	0.3670715869
41	0.3667794712
42	0.3665172343
43	0.3662394647
44	0.3660070279
45	0.3657911061
46	0.3654885888
47	0.3652552089
48	0.3650957163
49	0.3649522724
50	0.3647155505
51	0.3644895486
52	0.3642748013
53	0.3640935622
54	0.3639123068
55	0.3637547773
56	0.3635547196
57	0.3633892106
58	0.363228653
59	0.3629899562
60	0.362832212
61	0.3626113008
62	0.3624118568
63	0.3621525477
64	0.3619950706
65	0.3618584645
66	0.3616582058
67	0.3615053852
68	0.3613693901
69	0.3612475988
70	0.3610494876
71	0.3609592031
72	0.3608205568
73	0.360632447
74	0.3604660144
75	0.3603562586
76	0.3601517455
77	0.3600127034
78	0.3598121612
79	0.3597664588
80	0.3595684481
81	0.3594115385
82	0.3593042666
83	0.3591522525
84	0.3590307886
85	0.3589376356
86	0.3587946582
87	0.358632435
88	0.3585046122
89	0.3583997565
90	0.3582813197
91	0.3581997702
92	0.3580613494
93	0.3579440995
94	0.3577976715
95	0.3576930872
96	0.3576093488
97	0.3575344069
98	0.357391888
99	0.3572406423
100	0.3570759331
101	0.3569715992
102	0.3568605842
103	0.3567634788
104	0.3566779602
105	0.3565356408
106	0.3564203273
107	0.3563435743
108	0.3562551063
109	0.3561444684
110	0.3560694898
111	0.355950716
112	0.3558323781
113	0.3556737171
114	0.355566059
115	0.3554681135
116	0.3553534852
117	0.3552196795
118	0.3550526715
119	0.3549622814
120	0.3548505204
121	0.3547716958
122	0.3546265932
123	0.3545554132
124	0.3544664976
125	0.3543677192
126	0.3542482591
127	0.3541418615
128	0.3540494033
129	0.3539463446
130	0.3538553238
131	0.353762134
132	0.3536436664
133	0.3535317609
134	0.3534301968
135	0.3533516228
136	0.3532500128
137	0.353157011
138	0.3530381833
139	0.3529342073
140	0.3528527722
141	0.3527437268
142	0.3526822233
143	0.3526091943
144	0.3525320067
145	0.3523905919
146	0.3523004921
147	0.3521975293
148	0.3521343083
149	0.3520100508
150	0.351904643
151	0.3517887729
152	0.351695594
153	0.3515541258
154	0.3514433412
155	0.3513453793
156	0.3512372578
157	0.351139576
158	0.3510452118
159	0.3509701152
160	0.3508875858
161	0.3507840349
162	0.3507039428
163	0.3505900906
164	0.3504975381
165	0.350420603
166	0.3503277292
167	0.3502398175
168	0.3501768247
169	0.3501147133
170	0.350018186
171	0.3499371246
172	0.3498683869
173	0.3498003211
174	0.3497185345
175	0.3496600421
176	0.3495987322
177	0.3495021537
178	0.3494158469
179	0.3493519654
180	0.3492875155
181	0.3491834461
182	0.3490873924
183	0.3490068654
184	0.3489182146
185	0.3488158513
186	0.3487257585
187	0.3486292836
188	0.3485497535
189	0.3484707625
190	0.3483954835
191	0.3483226288
192	0.3482525774
193	0.348185333
194	0.3481090321
195	0.3480405322
196	0.3479738203
197	0.3479157064
198	0.3478463051
199	0.3477798515
200	0.3477096988
201	0.3476632008
202	0.3476093167
203	0.3475299729
204	0.3474479547
205	0.3473724616
206	0.3472980729
207	0.3472309551
208	0.347146323
209	0.3470724206
210	0.3470088037
211	0.3469432537
212	0.3468668121
213	0.3467988402
214	0.3467446993
215	0.3466725899
216	0.3465965304
217	0.3465496913
218	0.3464787611
219	0.3464185735
220	0.3463397464
221	0.3462880824
222	0.3462076125
223	0.3461484131
224	0.3460854122
225	0.3460236591
226	0.3459538471
227	0.3458515297
228	0.3458038579
229	0.3457262935
