iter	Passed	Remaining
0	76	76627
1	125	62607
2	174	58009
3	240	59959
4	288	57338
5	337	55951
6	393	55792
7	457	56710
8	504	55511
9	554	54912
10	610	54886
11	665	54796
12	710	53925
13	757	53370
14	806	52962
15	867	53367
16	923	53388
17	973	53094
18	1041	53749
19	1103	54079
20	1155	53868
21	1210	53828
22	1273	54086
23	1328	54026
24	1387	54104
25	1442	54055
26	1499	54045
27	1558	54105
28	1611	53962
29	1663	53773
30	1706	53332
31	1767	53453
32	1820	53356
33	1867	53061
34	1923	53023
35	1973	52837
36	2033	52930
37	2092	52972
38	2144	52834
39	2203	52887
40	2262	52919
41	2324	53023
42	2380	52981
43	2437	52962
44	2506	53185
45	2562	53150
46	2619	53107
47	2671	52985
48	2722	52842
49	2785	52917
50	2828	52639
51	2880	52508
52	2934	52435
53	2994	52453
54	3065	52670
55	3121	52614
56	3186	52714
57	3237	52580
58	3297	52588
59	3370	52810
60	3431	52816
61	3480	52655
62	3546	52746
63	3601	52674
64	3651	52522
65	3700	52362
66	3748	52199
67	3802	52119
68	3861	52097
69	3908	51926
70	3962	51848
71	4022	51843
72	4078	51786
73	4135	51748
74	4189	51675
75	4242	51574
76	4307	51628
77	4362	51572
78	4422	51561
79	4484	51572
80	4535	51454
81	4585	51335
82	4635	51212
83	4683	51074
84	4773	51385
85	4819	51223
86	4868	51094
87	4923	51027
88	4973	50908
89	5029	50856
90	5099	50942
91	5161	50946
92	5219	50907
93	5276	50852
94	5322	50702
95	5388	50737
96	5442	50670
97	5497	50598
98	5541	50432
99	5592	50331
100	5644	50245
101	5694	50134
102	5741	50001
103	5791	49892
104	5852	49883
105	5908	49834
106	5961	49753
107	6024	49761
108	6081	49716
109	6137	49656
110	6192	49597
111	6262	49651
112	6323	49634
113	6378	49574
114	6436	49533
115	6503	49563
116	6551	49446
117	6598	49319
118	6646	49204
119	6697	49111
120	6754	49066
121	6801	48948
122	6851	48848
123	6910	48821
124	6971	48803
125	7030	48765
126	7089	48735
127	7154	48738
128	7209	48679
129	7256	48561
130	7308	48480
131	7366	48439
132	7431	48445
133	7489	48401
134	7540	48316
135	7605	48314
136	7659	48246
137	7714	48184
138	7762	48079
139	7806	47952
140	7865	47918
141	7913	47815
142	7961	47715
143	8005	47591
144	8072	47600
145	8127	47539
146	8181	47472
147	8255	47522
148	8317	47505
149	8369	47429
150	8431	47403
151	8500	47423
152	8555	47361
153	8604	47269
154	8659	47208
155	8718	47171
156	8778	47137
157	8828	47049
158	8872	46927
159	8925	46859
160	8993	46867
161	9049	46813
162	9102	46742
163	9162	46707
164	9212	46620
165	9262	46533
166	9309	46435
167	9366	46384
168	9435	46396
169	9489	46330
170	9543	46267
171	9607	46249
172	9656	46160
173	9703	46065
174	9751	45969
175	9806	45912
176	9851	45808
177	9903	45732
178	9951	45644
179	10016	45628
180	10070	45565
181	10128	45524
182	10191	45499
183	10251	45463
184	10306	45403
185	10360	45339
186	10430	45349
187	10486	45294
188	10541	45235
189	10596	45174
190	10649	45105
191	10713	45084
192	10765	45012
193	10828	44989
194	10881	44922
195	10942	44884
196	10997	44825
197	11057	44788
198	11120	44760
199	11178	44715
200	11236	44665
201	11286	44589
202	11355	44583
203	11414	44540
